from_symbol,to_symbol,similarity,overlap_dimensions,notes
ISRG,SYK,0.70,"""medical devices","robotic surgery,orthopedics"","

# ─── Payment networks ───────────────────────────────────────────────────
V,MA,0.95,"""payment network","credit card,interchange"",duopoly"
V,PYPL,0.55,"""digital payments","checkout"","

# ─── Industrials (defense + airlines) ──────────────────────────────────
LMT,RTX,0.85,"""defense prime","aerospace,missiles"","
LMT,NOC,0.85,"""defense prime","aerospace,space systems"","
LMT,GD,0.80,"""defense prime","combat systems,IT services"","
RTX,BA,0.55,"""aerospace","defense,commercial aircraft engines"","
DAL,UAL,0.90,"""US legacy airline","international network"","
DAL,AAL,0.85,"""US legacy airline","domestic network"","
DAL,LUV,0.65,"""US airline","domestic network"",""Southwest LCC overlap"""

# ─── Real estate (REITs) ────────────────────────────────────────────────
PLD,AMT,0.50,"""REIT","large cap"",""biggest US REITs by mcap, different sub-sectors but tracked together"""
PLD,EQIX,0.45,"""REIT","industrial vs data center"",""industrial logistics + data center REIT peers"""
AMT,CCI,0.90,"""REIT","communications infrastructure,cell towers"","
AMT,SBAC,0.85,"""REIT","cell towers"","
EQIX,DLR,0.90,"""REIT","data center,colocation"","
O,VICI,0.65,"""REIT","net lease,triple net"","
O,STAG,0.60,"""REIT","net lease,industrial"","

# ─── Discount retail + e-commerce ────────────────────────────────────
WMT,COST,0.85,"""big box retail","membership warehouse,grocery"","
WMT,TGT,0.85,"""big box retail","general merchandise,grocery"","
WMT,AMZN,0.55,"""retail","e-commerce,grocery delivery"",cross-channel competition"
COST,TGT,0.75,"""big box retail","membership warehouse"","
HD,LOW,0.95,"""home improvement retail","DIY,pro contractor"",classic duopoly"

# ─── Insurance ─────────────────────────────────────────────────────────
PGR,ALL,0.85,"""personal lines insurance","auto,homeowners"","
PGR,TRV,0.75,"""property and casualty insurance""",
MET,PRU,0.85,"""life insurance","annuities,asset management"","
MET,AIG,0.70,"""diversified insurance","P&C,life"","

# ─── Streaming + media ────────────────────────────────────────────────
DIS,NFLX,0.65,"""streaming","content,studios"",DIS Disney+ vs Netflix"
DIS,CMCSA,0.75,"""media conglomerate","studios,parks vs broadband"","
DIS,WBD,0.75,"""media conglomerate","streaming,studios"","
NFLX,SPOT,0.45,"""streaming","consumer subscription"","
