NVDA,ORCL,customer,0.55,1.0,"OCI hyperscaler — disclosed multi-billion GPU buyer",

# ─── Semis: TSM's customers (the other side of NVDA-TSM and AAPL-TSM) ───
TSM,NVDA,customer,0.95,1.0,"largest disclosed customer for AI accelerators",
TSM,AAPL,customer,0.95,1.0,"AAPL is TSM's largest customer overall (>20% of revenue)",
TSM,AMD,customer,0.85,1.0,"foundry for Ryzen/EPYC/Instinct",
TSM,QCOM,customer,0.65,1.0,"foundry for Snapdragon",
TSM,AVGO,customer,0.65,1.0,"foundry for custom AI silicon",

# ─── Semis: equipment chain ──────────────────────────────────────────────
TSM,ASML,supplier,0.95,1.0,"EUV lithography monopoly",
TSM,AMAT,supplier,0.85,1.0,"deposition / process equipment",
TSM,LRCX,supplier,0.85,1.0,"etch equipment",
TSM,KLAC,supplier,0.80,1.0,"process control / metrology",
ASML,TSM,customer,0.95,1.0,"largest disclosed customer",

# ─── Apple supply chain ─────────────────────────────────────────────────
AAPL,TSM,supplier,0.95,1.0,"sole foundry for A-series and M-series chips",
AAPL,AVGO,supplier,0.65,1.0,"wireless / RF chips for iPhone",
AAPL,QCOM,supplier,0.55,1.0,"5G modems (transitioning to in-house)",

# ─── Energy supply chain ────────────────────────────────────────────────
VLO,XOM,supplier,0.65,1.0,"refiners buy crude from majors",
MPC,XOM,supplier,0.65,1.0,"refiners buy crude from majors",
PSX,XOM,supplier,0.65,1.0,"refiners buy crude from majors",
VLO,COP,supplier,0.55,1.0,"crude purchases from independent E&Ps",
MPC,COP,supplier,0.55,1.0,"crude purchases from independent E&Ps",
SLB,XOM,customer,0.75,1.0,"oilfield services major customer",
SLB,CVX,customer,0.75,1.0,"oilfield services major customer",
SLB,COP,customer,0.65,1.0,"oilfield services customer",
SLB,OXY,customer,0.65,1.0,"oilfield services customer",
HAL,XOM,customer,0.75,1.0,"oilfield services major customer",
HAL,CVX,customer,0.75,1.0,"oilfield services major customer",
KMI,XOM,customer,0.55,1.0,"midstream pipeline customer",
KMI,CVX,customer,0.55,1.0,"midstream pipeline customer",

# ─── Pharma → PBM/insurer customers ─────────────────────────────────────
LLY,CVS,customer,0.75,1.0,"PBM / pharmacy distribution",
LLY,UNH,customer,0.65,1.0,"OptumRx PBM",
LLY,CI,customer,0.65,1.0,"Express Scripts PBM",
PFE,CVS,customer,0.75,1.0,"PBM / pharmacy distribution",
PFE,UNH,customer,0.65,1.0,"OptumRx PBM",
MRK,CVS,customer,0.65,1.0,"PBM / pharmacy distribution",
MRK,UNH,customer,0.65,1.0,"OptumRx PBM",
JNJ,CVS,customer,0.55,1.0,"PBM / pharmacy distribution",

# ─── Defense ────────────────────────────────────────────────────────────
RTX,LMT,supplier,0.45,1.0,"RTX (Pratt & Whitney) supplies F-35 engines to LMT",F-135 engine
LMT,RTX,customer,0.45,1.0,"F-35 engine procurement from RTX",
NOC,RTX,supplier,0.35,1.0,"electronics / sensors integration",
GE,BA,supplier,0.85,1.0,"GE Aerospace supplies CFM engines (joint w/ Safran) for 737 MAX",
GE,RTX,supplier,0.30,1.0,"engine adjacency",

# ─── AI infrastructure: hyperscalers ↔ DC REITs / utilities ────────────
MSFT,DLR,customer,0.55,1.0,"Microsoft is anchor tenant in many DLR data centers",
MSFT,EQIX,customer,0.55,1.0,"Microsoft Azure interconnects via EQIX",
GOOGL,EQIX,customer,0.55,1.0,"Google Cloud interconnect ecosystem",
META,DLR,customer,0.45,1.0,"Meta data center capacity",
DLR,NEE,customer,0.45,1.0,"data center power buyer (FL/TX/VA)",
EQIX,NEE,customer,0.45,1.0,"data center power buyer",
DLR,AEP,customer,0.45,1.0,"power buyer in AEP territory",
EQIX,DUK,customer,0.40,1.0,"power buyer in DUK territory (NC/SC)",
DLR,CEG,customer,0.55,1.0,"nuclear PPA for AI compute clusters",announced deals
DLR,VST,customer,0.45,1.0,"AI-power PPAs",

# ─── Telecoms → tower REITs ─────────────────────────────────────────────
T,AMT,customer,0.85,1.0,"AT&T leases tower space from American Tower",
T,CCI,customer,0.65,1.0,"Crown Castle tenant",
VZ,AMT,customer,0.85,1.0,"Verizon tower lessee",
VZ,CCI,customer,0.65,1.0,"Crown Castle tenant",
TMUS,AMT,customer,0.85,1.0,"T-Mobile tower lessee",
TMUS,CCI,customer,0.65,1.0,"Crown Castle tenant",

# ─── EVs ↔ ICE substitution ──────────────────────────────────────────────
TSLA,F,substitute,0.55,-1.0,"EVs displacing ICE light vehicles",
TSLA,GM,substitute,0.55,-1.0,"EVs displacing ICE light vehicles",
F,TSLA,substitute,0.55,-1.0,"reverse: ICE displaced by EVs",
GM,TSLA,substitute,0.55,-1.0,"reverse: ICE displaced by EVs",

# ─── Oil ↔ EV substitution (commodity-mediated demand pull) ─────────────
TSLA,XOM,substitute,0.30,-1.0,"high oil prices boost EV economics; loose substitution",
TSLA,CVX,substitute,0.30,-1.0,"loose substitution via fuel cost",

# ─── Complementary tech demand pairs ────────────────────────────────────
NVDA,VRT,complement,0.45,1.0,"GPU clusters drive datacenter cooling demand",
NVDA,GEV,complement,0.40,1.0,"GPU clusters drive grid power demand",
NVDA,ETN,complement,0.45,1.0,"GPU clusters drive electrical equipment demand",
NVDA,CCJ,complement,0.30,1.0,"GPU clusters drive nuclear PPA demand",2nd-derivative

# ═══ Wave 1 sector-influence backfill: fill 3 empty sectors ═════════════
# Added 2026-05-25 to close the Tier A supply-chain spine for Financials,
# Consumer Defensive, and Basic Materials (previously 0% coverage).

# ─── Financials: card networks → top merchants ─────────────────────────
V,COST,customer,0.85,1.0,"Costco's exclusive U.S. credit network partner since 2016 (multi-year contract)",
V,AMZN,customer,0.65,1.0,"Amazon is a top global Visa-network merchant by absolute volume",
V,WMT,customer,0.55,1.0,"Walmart processes large Visa-branded credit + debit volume",
MA,AMZN,customer,0.55,1.0,"Amazon major Mastercard-accepting merchant",
MA,WMT,customer,0.55,1.0,"Walmart accepts Mastercard at scale",
AXP,MAR,customer,0.75,1.0,"Marriott Bonvoy is a flagship AXP co-brand partnership",

# ─── Financials: banks issue cards on the networks ─────────────────────
JPM,V,supplier,0.75,1.0,"Chase issues Visa-branded consumer + business cards — Visa network is critical infrastructure",
BAC,V,supplier,0.55,1.0,"Bank of America major Visa-network credit card issuer",
WFC,V,supplier,0.45,1.0,"Wells Fargo consumer cards on Visa network",
C,MA,supplier,0.55,1.0,"Citi credit card portfolio prominent on Mastercard network",

# ─── Financials: exchanges + data → broker-dealers + asset mgrs ────────
CME,JPM,customer,0.55,1.0,"JPMorgan a major CME clearing + execution member",
CME,GS,customer,0.55,1.0,"Goldman Sachs routes futures execution through CME",
CME,MS,customer,0.45,1.0,"Morgan Stanley uses CME futures markets",
ICE,BLK,customer,0.55,1.0,"BlackRock iShares ETFs rely on ICE listings + ICE Clear",
ICE,GS,customer,0.45,1.0,"Goldman uses ICE for fixed-income + commodities trading",
SPGI,BLK,customer,0.85,1.0,"S&P indices (S&P 500) underlie BlackRock's largest iShares ETFs — licensing relationship",
SPGI,BX,customer,0.55,1.0,"Blackstone consumes S&P credit ratings + market data",
SPGI,V,customer,0.35,1.0,"S&P rates Visa + V is a 500 constituent",

# ─── Financials: primary insurers → reinsurance ────────────────────────
AIG,BRK-B,customer,0.45,1.0,"AIG cedes catastrophe + life-block exposure to Berkshire Hathaway Re",
MET,BRK-B,customer,0.45,1.0,"MetLife uses BRK Re for large life-block transactions",
TRV,BRK-B,customer,0.45,1.0,"Travelers cedes P&C catastrophe exposure to BRK Re",

# ─── Consumer Defensive: retailers ↔ CPG (retailer is buyer) ───────────
WMT,PG,supplier,0.85,1.0,"P&G is one of Walmart's largest CPG suppliers — top-vendor relationship",
WMT,KO,supplier,0.85,1.0,"Coca-Cola is a top beverage supplier to Walmart",
WMT,PEP,supplier,0.75,1.0,"PepsiCo major Walmart beverage + snacks vendor",
WMT,CL,supplier,0.55,1.0,"Colgate-Palmolive household-care vendor at Walmart",
WMT,MDLZ,supplier,0.55,1.0,"Mondelez (Oreo, Cadbury, Ritz) major WMT vendor",
COST,PG,supplier,0.65,1.0,"P&G Kirkland-adjacent + branded volume at Costco",
COST,KO,supplier,0.55,1.0,"Costco bottled-beverage + Coke partnership",
COST,PEP,supplier,0.55,1.0,"PepsiCo beverages + snacks at Costco",

# ─── Basic Materials: industrial gases → semiconductor + energy ────────
LIN,INTC,customer,0.65,1.0,"Linde supplies industrial + ultra-high-purity electronic gases to Intel fabs",
LIN,TSM,customer,0.55,1.0,"Linde supplies process gases to TSMC fab operations (incl. Arizona)",
LIN,XOM,customer,0.45,1.0,"Industrial gases for refining + chemicals operations",

# ─── Basic Materials: copper → EV / electrification ────────────────────
FCX,TSLA,customer,0.55,1.0,"Tesla EV programs expand copper demand — Freeport major US producer",
FCX,GEV,customer,0.45,1.0,"GE Vernova grid + wind equipment requires copper conductors",

# ─── Basic Materials: steel → industrials + autos ──────────────────────
NUE,CAT,customer,0.45,1.0,"Caterpillar equipment chassis + components consume Nucor-grade steel",
NUE,F,customer,0.35,1.0,"Ford auto body + chassis steel sourcing includes Nucor",
NUE,GM,customer,0.35,1.0,"GM steel procurement includes Nucor",

# ─── Basic Materials: paints / coatings → OEMs ─────────────────────────
SHW,F,customer,0.45,1.0,"Sherwin-Williams Industrial Coatings supplies Ford OEM paint",
SHW,GM,customer,0.35,1.0,"Sherwin-Williams supplies GM industrial coatings",
SHW,DE,customer,0.35,1.0,"Deere ag-equipment OEM coatings supplied by SHW",

# ─── Basic Materials: Ecolab → food + lodging ──────────────────────────
ECL,MAR,customer,0.55,1.0,"Marriott uses Ecolab cleaning + sanitation services across properties",
ECL,KO,customer,0.45,1.0,"Coca-Cola bottling plants use Ecolab water treatment + sanitation",

# ═══ Historical-only edges (effective_to set) ══════════════════════════
# These edges existed at one point but no longer apply. Backtest queries
# with as_of=<earlier> will pick them up; current-day queries won't.
# Column layout for these rows: extra trailing fields effective_from + effective_to.
# (The other rows in this CSV omit those columns and the loader treats them as NULL.)

AAPL,INTC,supplier,0.85,1.0,"Intel x86 chips powered Macs from 2006 until Apple Silicon transition","ended 2020-11-10 with M1 launch",2006-01-10,2020-11-10
AXP,COST,customer,0.85,1.0,"American Express exclusive U.S. credit network at Costco — partnership ended 2016","V/COST replaced it",1999-01-01,2016-06-19
NVDA,INTC,complement,0.45,1.0,"Pre-AMD-era: NVDA GPU paired with INTC CPU in DC workloads","AMD EPYC has taken majority share in AI servers post-2022",2010-01-01,2022-12-31
F,GOOG,complement,0.30,1.0,"Ford partnered with Google for in-vehicle Android Automotive — diluted with Volkswagen/Cariad shift",partnership scaled down 2023,2021-02-01,2023-12-31
NFLX,DIS,customer,0.45,1.0,"Netflix licensed Disney content until DIS+ launch","ended 2019 with content pull",2008-01-01,2019-11-12
