from_symbol,to_symbol,similarity,overlap_dimensions,notes
TMUS,CMCSA,0.45,"wireless,broadband",

# ─── Mega-bank Financials ────────────────────────────────────────────────
JPM,BAC,0.95,"universal bank,investment bank,consumer",
JPM,WFC,0.85,"universal bank,consumer,commercial",
JPM,C,0.85,"universal bank,investment bank,global",
JPM,GS,0.75,"investment bank,trading,wealth",
JPM,MS,0.75,"investment bank,wealth,trading",
BAC,JPM,0.95,"universal bank,consumer,investment",
BAC,WFC,0.90,"consumer bank,commercial",
BAC,C,0.85,"universal bank,global,consumer",
BAC,GS,0.65,"investment bank adjacency",
WFC,BAC,0.90,"consumer bank,commercial",
WFC,JPM,0.85,"universal bank",
WFC,C,0.75,"universal bank",
C,JPM,0.85,"universal bank,investment bank",
C,BAC,0.85,"universal bank,global",
C,WFC,0.75,"universal bank",
GS,MS,0.95,"investment bank,wealth,trading",direct duopoly
GS,JPM,0.75,"investment bank,trading",
GS,BAC,0.65,"investment bank adjacency",
MS,GS,0.95,"investment bank,wealth,trading",
MS,JPM,0.75,"investment bank,wealth",
MS,SCHW,0.65,"wealth management,brokerage",

# ─── Payments / Asset Mgmt ───────────────────────────────────────────────
V,MA,0.95,"payment networks,credit,debit",direct duopoly
V,AXP,0.65,"credit cards,payment networks",
V,PYPL,0.45,"payments,fintech",
MA,V,0.95,"payment networks,credit,debit",
MA,AXP,0.65,"credit cards,payment networks",
MA,PYPL,0.45,"payments,fintech",
AXP,V,0.65,"credit cards,payments",
AXP,MA,0.65,"credit cards,payments",
AXP,DFS,0.85,"credit cards,closed loop network",
PYPL,V,0.45,"digital payments",
PYPL,MA,0.45,"digital payments",
PYPL,COIN,0.40,"fintech,digital payments",
BLK,SCHW,0.65,"asset management,wealth platform",
BLK,STT,0.80,"asset management,custody,etf",
BLK,KKR,0.55,"asset management,alternatives",
BLK,BX,0.55,"asset management,alternatives",
SCHW,BLK,0.65,"wealth platform,asset mgmt",
SCHW,MS,0.65,"brokerage,wealth",
BX,KKR,0.95,"private equity,alternatives,credit",
BX,BLK,0.55,"asset management,alternatives",
BX,APO,0.85,"private equity,alternatives",
KKR,BX,0.95,"private equity,alternatives",
KKR,APO,0.85,"private equity,alternatives",
KKR,BLK,0.50,"alternatives",
ICE,CME,0.90,"exchanges,derivatives,market data",
ICE,NDAQ,0.80,"exchanges,market data",
ICE,SPGI,0.70,"market data,indices",
CME,ICE,0.90,"exchanges,derivatives",
CME,NDAQ,0.80,"exchanges",
NDAQ,ICE,0.80,"exchanges,market data",
NDAQ,CME,0.80,"exchanges",
SPGI,MCO,0.95,"credit ratings,market data",direct duopoly
SPGI,ICE,0.70,"market data,indices",

# ─── Insurance ───────────────────────────────────────────────────────────
PGR,ALL,0.95,"auto insurance,personal lines",direct duopoly
PGR,TRV,0.75,"p&c insurance,personal lines",
TRV,PGR,0.75,"p&c insurance",
TRV,CB,0.85,"p&c insurance,commercial",
TRV,ALL,0.80,"p&c insurance",
AIG,TRV,0.70,"p&c insurance,commercial",
AIG,MET,0.55,"insurance,life adjacency",
MET,PRU,0.95,"life insurance,annuities",
MET,AIG,0.55,"insurance,life",
BRK-B,JPM,0.45,"financial conglomerate,banks",
BRK-B,BLK,0.50,"asset mgmt,float investing",

# ─── Pharma mega ─────────────────────────────────────────────────────────
LLY,NVO,0.95,"glp-1,obesity,diabetes",direct duopoly in GLP-1
LLY,PFE,0.70,"big pharma,oncology,r&d pipeline",
LLY,MRK,0.70,"big pharma,oncology",
LLY,JNJ,0.65,"big pharma,broad portfolio",
LLY,ABBV,0.65,"big pharma,immunology adjacency",
NVO,LLY,0.95,"glp-1,obesity,diabetes",
NVO,PFE,0.45,"big pharma,vaccines+",
JNJ,PFE,0.85,"big pharma,broad portfolio",
JNJ,MRK,0.80,"big pharma,oncology,vaccines",
JNJ,ABBV,0.75,"big pharma,immunology",
JNJ,BMY,0.75,"big pharma,oncology",
PFE,JNJ,0.85,"big pharma,vaccines",
PFE,MRK,0.85,"big pharma,vaccines,oncology",
PFE,LLY,0.70,"big pharma",
PFE,ABBV,0.70,"big pharma,immunology",
PFE,BMY,0.75,"big pharma",
MRK,JNJ,0.80,"big pharma,oncology",
MRK,PFE,0.85,"big pharma,oncology,vaccines",
MRK,BMY,0.85,"big pharma,oncology",
MRK,LLY,0.70,"big pharma",
MRK,GILD,0.55,"oncology,virology",
ABBV,JNJ,0.75,"big pharma,immunology",
ABBV,PFE,0.70,"big pharma",
ABBV,BMY,0.80,"big pharma,immunology adjacency",
BMY,MRK,0.85,"big pharma,oncology",
BMY,JNJ,0.75,"big pharma,oncology",
AMGN,REGN,0.85,"biotech,immunology,oncology",
AMGN,VRTX,0.65,"biotech,specialty",
AMGN,GILD,0.75,"biotech,large molecule",
GILD,AMGN,0.75,"biotech,large molecule",
GILD,VRTX,0.70,"biotech,specialty",
GILD,MRK,0.55,"virology,oncology",
REGN,AMGN,0.85,"biotech,immunology",
REGN,VRTX,0.75,"biotech,specialty",
VRTX,REGN,0.75,"biotech,specialty",
VRTX,AMGN,0.65,"biotech,specialty,large molecule",

# ─── Healthcare insurance / services ─────────────────────────────────────
UNH,ELV,0.95,"managed care,health plans,medicare",
UNH,CI,0.85,"managed care,pbm",
UNH,HUM,0.80,"managed care,medicare advantage",
UNH,CVS,0.65,"managed care,pharmacy",
ELV,UNH,0.95,"managed care",
ELV,CI,0.85,"managed care",
ELV,HUM,0.80,"managed care,medicare advantage",
CI,UNH,0.85,"managed care",
CI,ELV,0.85,"managed care",
CI,CVS,0.75,"pbm,pharmacy benefit mgmt",
HUM,UNH,0.80,"medicare advantage",
HUM,ELV,0.80,"medicare advantage",
HUM,CI,0.65,"managed care",
CVS,UNH,0.65,"pharmacy,managed care",
CVS,CI,0.75,"pbm,pharmacy benefit mgmt",
CVS,WBA,0.85,"retail pharmacy",

# ─── Medical devices / biotech ───────────────────────────────────────────
ISRG,MDT,0.65,"medical devices,surgical",
ISRG,SYK,0.60,"medical devices,surgical robotics",
ISRG,EW,0.50,"medical devices",
MDT,SYK,0.85,"medical devices,orthopedics adjacency",
MDT,BSX,0.85,"medical devices,cardiology",
MDT,ABT,0.75,"medical devices,diagnostics",
MDT,EW,0.65,"medical devices,cardio",
ABT,MDT,0.75,"medical devices,diagnostics",
ABT,BSX,0.65,"medical devices,cardiology",
ABT,DHR,0.70,"diagnostics,life sciences",
SYK,MDT,0.85,"medical devices",
SYK,ZBH,0.85,"medical devices,orthopedics",
SYK,BSX,0.70,"medical devices",
BSX,MDT,0.85,"medical devices,cardiology",
BSX,SYK,0.70,"medical devices",
BSX,EW,0.75,"medical devices,cardio",
BDX,MDT,0.65,"medical devices,diagnostics",
BDX,ABT,0.55,"medical supplies,diagnostics",
EW,MDT,0.65,"medical devices,cardio",
EW,BSX,0.75,"medical devices,cardio",

# ─── Consumer Staples mega ───────────────────────────────────────────────
WMT,COST,0.85,"discount,bulk,membership adjacent",
WMT,TGT,0.85,"discount,broad retail",
WMT,AMZN,0.70,"retail,ecommerce",
COST,WMT,0.85,"discount retail",
COST,TGT,0.65,"discount retail",
COST,BJ,0.95,"membership warehouse",
PG,CL,0.95,"household products,consumer brands",direct competitor
PG,UL,0.85,"household products,consumer brands",
PG,KO,0.45,"consumer staples,brand",
CL,PG,0.95,"household products",
CL,UL,0.85,"household products",
KO,PEP,0.95,"beverages,non-alcoholic,snacks adjacency",direct duopoly
KO,MNST,0.55,"beverages,energy",
PEP,KO,0.95,"beverages,snacks",
PEP,MDLZ,0.70,"snacks,confectioners,packaged foods",
MDLZ,PEP,0.70,"snacks,confectioners",
MDLZ,HSY,0.85,"confectioners,packaged foods",
MO,PM,0.95,"tobacco",direct dupoly post-spin
MO,BTI,0.85,"tobacco",
PM,MO,0.95,"tobacco",
PM,BTI,0.85,"tobacco",

# ─── Consumer Discretionary mega ─────────────────────────────────────────
HD,LOW,0.95,"home improvement retail",direct duopoly
HD,WSM,0.45,"home retail",
LOW,HD,0.95,"home improvement retail",
MCD,SBUX,0.55,"restaurants,quick service",
MCD,YUM,0.85,"qsr,franchise model",
MCD,CMG,0.45,"qsr,fast casual",
SBUX,MCD,0.55,"restaurants",
SBUX,YUM,0.45,"qsr",
NKE,UA,0.85,"athletic apparel,footwear",
NKE,LULU,0.70,"athletic apparel",
NKE,ADIDAS,0.85,"athletic apparel,global",ADIDAS not in US
TJX,ROST,0.95,"off-price retail",direct duopoly
TJX,BURL,0.85,"off-price retail",
BKNG,EXPE,0.85,"online travel",
BKNG,ABNB,0.65,"travel services,bookings",
MAR,HLT,0.95,"global lodging,hotel chains",direct duopoly
MAR,H,0.75,"lodging",
ABNB,BKNG,0.65,"travel services,bookings",
ABNB,EXPE,0.55,"travel services",

# ─── Auto ────────────────────────────────────────────────────────────────
GM,F,0.95,"legacy auto,detroit big two",direct duopoly
GM,TSLA,0.65,"ev,auto,autonomous",
GM,STLA,0.85,"global oem",
F,GM,0.95,"legacy auto",
F,TSLA,0.65,"ev,auto,truck",
F,STLA,0.85,"global oem",

# ─── Energy mega ─────────────────────────────────────────────────────────
XOM,CVX,0.95,"integrated oil,supermajor",direct duopoly in US
XOM,COP,0.80,"oil major,e&p",
XOM,SHEL,0.85,"integrated oil,global",SHEL not Tier A
XOM,BP,0.80,"integrated oil,global",
CVX,XOM,0.95,"integrated oil,supermajor",
CVX,COP,0.80,"oil major,e&p",
COP,XOM,0.80,"e&p,oil major",
COP,CVX,0.80,"e&p,oil major",
COP,EOG,0.85,"shale e&p,domestic",
COP,OXY,0.80,"e&p,domestic",
OXY,COP,0.80,"e&p,domestic",
OXY,EOG,0.80,"shale e&p",
OXY,XOM,0.65,"e&p,permian",
EOG,COP,0.85,"shale e&p",
EOG,OXY,0.80,"shale e&p",
EOG,DVN,0.80,"shale e&p,domestic",
VLO,MPC,0.95,"refining,downstream",direct duopoly
VLO,PSX,0.90,"refining,downstream",
MPC,VLO,0.95,"refining",
MPC,PSX,0.90,"refining",
PSX,VLO,0.90,"refining",
PSX,MPC,0.90,"refining",
KMI,ENB,0.85,"midstream,pipelines",
KMI,WMB,0.90,"midstream,gas pipelines",
ENB,KMI,0.85,"midstream,pipelines",
ENB,EPD,0.85,"midstream,pipelines",
ENB,TRP,0.95,"canadian midstream,pipelines",TRP not in Tier A
SLB,HAL,0.95,"oilfield services,onshore offshore",direct duopoly
SLB,BKR,0.85,"oilfield services,equipment",
HAL,SLB,0.95,"oilfield services",
HAL,BKR,0.85,"oilfield services",

# ─── Industrials / Aerospace / Defense ───────────────────────────────────
BA,RTX,0.85,"aerospace,defense,commercial planes",
BA,LMT,0.55,"aerospace,defense adjacency",
LMT,RTX,0.95,"defense primes,missiles,radar",
LMT,NOC,0.95,"defense primes,bombers,space",
LMT,GD,0.85,"defense primes,combat systems",
LMT,HII,0.65,"defense,shipbuilding adjacency",
RTX,LMT,0.95,"defense primes,missiles",
RTX,NOC,0.85,"defense primes",
RTX,GD,0.80,"defense primes",
RTX,BA,0.85,"aerospace,defense",
NOC,LMT,0.95,"defense primes,bombers",
NOC,RTX,0.85,"defense primes",
NOC,GD,0.85,"defense primes",
GD,LMT,0.85,"defense primes,combat systems",
GD,NOC,0.85,"defense primes",
GD,HII,0.85,"defense,shipbuilding,combat systems",
HII,GD,0.85,"shipbuilding,combat systems",
HII,NOC,0.65,"defense,shipbuilding",
HON,GE,0.85,"industrial conglomerates,aerospace",
HON,EMR,0.80,"industrial automation",
HON,ITW,0.65,"industrial conglomerates",
HON,MMM,0.65,"industrial conglomerates",
GE,HON,0.85,"industrial conglomerates",
GE,RTX,0.75,"aerospace engines,defense",
GE,GEV,0.50,"former parent,grid spinoff",
GEV,ETN,0.85,"electrical equipment,grid power",
GEV,GE,0.50,"spinoff parent",
ETN,EMR,0.85,"electrical equipment,industrial",
ETN,GEV,0.85,"electrical equipment,grid power",
EMR,ETN,0.85,"industrial automation",
EMR,HON,0.80,"industrial automation,controls",
ITW,EMR,0.65,"industrial",
ITW,HON,0.65,"industrial conglomerates",
MMM,HON,0.65,"diversified industrials",
MMM,EMR,0.55,"diversified industrials",
CAT,DE,0.95,"heavy equipment,construction agriculture",direct duopoly
CAT,CMI,0.65,"heavy equipment,engines",
DE,CAT,0.95,"heavy equipment",
DE,AGCO,0.85,"agriculture equipment",

# ─── Logistics / Transport ───────────────────────────────────────────────
UPS,FDX,0.95,"parcel,logistics",direct duopoly
UPS,XPO,0.45,"logistics adjacency",
FDX,UPS,0.95,"parcel,logistics",
UNP,NSC,0.85,"railroads,freight",
UNP,CSX,0.85,"railroads,freight",
NSC,UNP,0.85,"railroads",
NSC,CSX,0.95,"eastern us railroads",direct duopoly
CSX,NSC,0.95,"eastern us railroads",
CSX,UNP,0.85,"railroads",
ODFL,XPO,0.85,"trucking,ltl",
ODFL,SAIA,0.85,"trucking,ltl",

# ─── Materials ───────────────────────────────────────────────────────────
LIN,APD,0.95,"industrial gases",direct duopoly
LIN,SHW,0.30,"industrial",
SHW,PPG,0.95,"paint coatings",direct duopoly
ECL,DOV,0.45,"specialty chemicals,industrial",
FCX,RIO,0.85,"copper mining",RIO not Tier A
FCX,SCCO,0.85,"copper mining,latam",
NEM,GOLD,0.95,"gold mining,majors",direct duopoly
NEM,AEM,0.85,"gold mining",
NUE,STLD,0.95,"steel,mini mill",direct duopoly
NUE,X,0.75,"steel,domestic",
NUE,CLF,0.65,"steel,iron",

# ─── Utilities ───────────────────────────────────────────────────────────
NEE,DUK,0.85,"regulated utility,renewable mix",
NEE,SO,0.85,"regulated utility,southeast",
NEE,AEP,0.85,"regulated utility,renewable",
DUK,NEE,0.85,"regulated utility",
DUK,SO,0.95,"regulated utility,southeast",
DUK,AEP,0.85,"regulated utility",
SO,NEE,0.85,"regulated utility",
SO,DUK,0.95,"regulated utility,southeast",
SO,AEP,0.85,"regulated utility",
AEP,DUK,0.85,"regulated utility",
AEP,SO,0.85,"regulated utility",
AEP,XEL,0.85,"regulated utility,wind",
XEL,AEP,0.85,"regulated utility,wind",
XEL,NEE,0.75,"regulated utility,renewable",
XEL,DUK,0.75,"regulated utility",
EXC,AEP,0.75,"regulated utility,nuclear",
EXC,DUK,0.75,"regulated utility",
CEG,VST,0.95,"independent power,nuclear/gas",
CEG,EXC,0.65,"former parent,nuclear",
VST,CEG,0.95,"independent power,nuclear/gas",
VST,AES,0.55,"independent power",
AES,VST,0.55,"independent power,renewable",

# ─── Real Estate ─────────────────────────────────────────────────────────
PLD,EXR,0.55,"industrial reit,storage adjacency",
PLD,SPG,0.30,"reit",
AMT,CCI,0.95,"tower reit",direct duopoly
AMT,SBAC,0.85,"tower reit",
CCI,AMT,0.95,"tower reit",
CCI,SBAC,0.85,"tower reit",
EQIX,DLR,0.95,"data center reit",direct duopoly
DLR,EQIX,0.95,"data center reit",
PSA,EXR,0.95,"self storage reit",
SPG,O,0.55,"retail reit",
O,SPG,0.55,"retail reit,net lease",
